word,graphemes
জয়েন,"['জ', 'য়ে', 'ন']"
ব্রত,"['ব্র', 'ত']"
গ্রন্থমেলা,"['গ্র', 'ন্থ', 'মে', 'লা']"
নির্বাক,"['নি', 'র্বা', 'ক']"
সত্তার,"['স', 'ত্তা', 'র']"
সাধনার,"['সা', 'ধ', 'না', 'র']"
পাঠকের,"['পা', 'ঠ', 'কে', 'র']"
মেটায়,"['মে', 'টা', 'য়']"
স্টলের,"['স্ট', 'লে', 'র']"
পথচলা,"['প', 'থ', 'চ', 'লা']"
গ্রন্থমেলা’য়,"['গ্র', 'ন্থ', 'মে', 'লা', '’', 'য়']"
নিগূঢ়তম,"['নি', 'গূ', 'ঢ়', 'ত', 'ম']"
পদক,"['প', 'দ', 'ক']"
একাডেমী,"['এ', 'কা', 'ডে', 'মী']"
বইকে,"['ব', 'ই', 'কে']"
দ্বারপ্রান্তে,"['দ্বা', 'র', 'প্রা', 'ন্তে']"
ফেরাবে,"['ফে', 'রা', 'বে']"
সম্মিলন,"['স', 'ম্মি', 'ল', 'ন']"
জীবনীগ্রন্থ,"['জী', 'ব', 'নী', 'গ্র', 'ন্থ']"
কথা’র,"['ক', 'থা', '’', 'র']"
শাহবাগস্থ,"['শা', 'হ', 'বা', 'গ', 'স্থ']"
অগণিত,"['অ', 'গ', 'ণি', 'ত']"
মহামূল্যবান,"['ম', 'হা', 'মূ', 'ল্য', 'বা', 'ন']"
গবেষণাকর্ম,"['গ', 'বে', 'ষ', 'ণা', 'ক', 'র্ম']"
নিবন্ধ,"['নি', 'ব', 'ন্ধ']"
ফিকশনসহ,"['ফি', 'ক', 'শ', 'ন', 'স', 'হ']"
সাহিত্যকে,"['সা', 'হি', 'ত্য', 'কে']"
শিশুসাহিত্য,"['শি', 'শু', 'সা', 'হি', 'ত্য']"
আজিজ,"['আ', 'জি', 'জ']"
বিচিত্র,"['বি', 'চি', 'ত্র']"
নানামুখী,"['না', 'না', 'মু', 'খী']"
প্রকাশনাটি,"['প্র', 'কা', 'শ', 'না', 'টি']"
স্লোগানকে,"['স্লো', 'গা', 'ন', 'কে']"
পদচারণা,"['প', 'দ', 'চা', 'র', 'ণা']"
ঔপন্যাসিক,"['ঔ', 'প', 'ন্যা', 'সি', 'ক']"
মার্কেটে,"['মা', 'র্কে', 'টে']"
লাইব্রেরিসহ,"['লা', 'ই', 'ব্রে', 'রি', 'স', 'হ']"
প্রফেসর’স,"['প্র', 'ফে', 'স', 'র', '’', 'স']"
হানাহানি,"['হা', 'না', 'হা', 'নি']"
অনাবিল,"['অ', 'না', 'বি', 'ল']"
জানাকে,"['জা', 'না', 'কে']"
কর্মক্লান্ত,"['ক', 'র্ম', 'ক্লা', 'ন্ত']"
সমস্যাক্লিষ্ট,"['স', 'ম', 'স্যা', 'ক্লি', 'ষ্ট']"
কর্কশতার,"['ক', 'র্ক', 'শ', 'তা', 'র']"
কথাপ্রকাশ,"['ক', 'থা', 'প্র', 'কা', 'শ']"
অজানাকে,"['অ', 'জা', 'না', 'কে']"
বৈচিত্র্যময়,"['বৈ', 'চি', 'ত্র্য', 'ম', 'য়']"
আনন্দকে,"['আ', 'ন', 'ন্দ', 'কে']"
প্রকাশন,"['প্র', 'কা', 'শ', 'ন']"
ব্যস্ততা,"['ব্য', 'স্ত', 'তা']"
বুদ্ধিমত্তাভিত্তিক,"['বু', 'দ্ধি', 'ম', 'ত্তা', 'ভি', 'ত্তি', 'ক']"
কাঠি,"['কা', 'ঠি']"
রোবটটিকে,"['রো', 'ব', 'ট', 'টি', 'কে']"
আলতোভাবে,"['আ', 'ল', 'তো', 'ভা', 'বে']"
ডেভেলপাররা,"['ডে', 'ভে', 'ল', 'পা', 'র', 'রা']"
থুতনি,"['থু', 'ত', 'নি']"
প্রোটোটাইপ,"['প্রো', 'টো', 'টা', 'ই', 'প']"
আইডি,"['আ', 'ই', 'ডি']"
রোবোটিকস,"['রো', 'বো', 'টি', 'ক', 'স']"
কিটটি,"['কি', 'ট', 'টি']"
স্বয়ংক্রিয়,"['স্ব', 'য়', 'ং', 'ক্রি', 'য়']"
রোবোটিক,"['রো', 'বো', 'টি', 'ক']"
খোলেন,"['খো', 'লে', 'ন']"
বাহু,"['বা', 'হু']"
ফ্রেইমে,"['ফ্রে', 'ই', 'মে']"
ডেনমার্ক,"['ডে', 'ন', 'মা', 'র্ক']"
ড্যানিশ,"['ড্যা', 'নি', 'শ']"
থিউসিয়াস,"['থি', 'উ', 'সি', 'য়া', 'স']"
রোবটটি,"['রো', 'ব', 'ট', 'টি']"
রয়টার্সের,"['র', 'য়', 'টা', 'র্সে', 'র']"
সাভারিমুথু,"['সা', 'ভা', 'রি', 'মু', 'থু']"
এসডিইউ,"['এ', 'স', 'ডি', 'ই', 'উ']"
রাজিথ,"['রা', 'জি', 'থ']"
ঘোরাতে,"['ঘো', 'রা', 'তে']"
লাইফলাইন,"['লা', 'ই', 'ফ', 'লা', 'ই', 'ন']"
কটনবাড,"['ক', 'ট', 'ন', 'বা', 'ড']"
সাউদার্ন,"['সা', 'উ', 'দা', 'র্ন']"
কন্টেইনারে,"['ক', 'ন্টে', 'ই', 'না', 'রে']"
ক্রিকেটজীবনে,"['ক্রি', 'কে', 'ট', 'জী', 'ব', 'নে']"
শচীনের,"['শ', 'চী', 'নে', 'র']"
কমপ্লিট,"['ক', 'ম', 'প্লি', 'ট']"
দাঁড়ালেও,"['দাঁ', 'ড়া', 'লে', 'ও']"
গ্রেট,"['গ্রে', 'ট']"
ব্যাটসম্যানের,"['ব্যা', 'ট', 'স', 'ম্যা', 'নে', 'র']"
রাউন্ডার,"['রা', 'উ', 'ন্ডা', 'র']"
কিংবদন্তি,"['কি', 'ং', 'ব', 'দ', 'ন্তি']"
শচীনই,"['শ', 'চী', 'ন', 'ই']"
গ্রেটেস্ট,"['গ্রে', 'টে', 'স্ট']"
ক্যালিসকে,"['ক্যা', 'লি', 'স', 'কে']"
ব্লাস্টার,"['ব্লা', 'স্টা', 'র']"
পেয়েছন,"['পে', 'য়ে', 'ছ', 'ন']"
বাঙ্গোয়ার,"['বা', 'ঙ্গো', 'য়া', 'র']"
টেন্ডুলকারকে,"['টে', 'ন্ডু', 'ল', 'কা', 'র', 'কে']"
লি,['লি']
শচীন,"['শ', 'চী', 'ন']"
ব্রেট,"['ব্রে', 'ট']"
পারত,"['পা', 'র', 'ত']"
গ্যারি,"['গ্যা', 'রি']"
সোবার্সকে,"['সো', 'বা', 'র্স', 'কে']"
ক্যালিসই,"['ক্যা', 'লি', 'স', 'ই']"
স্পেশালিস্ট,"['স্পে', 'শা', 'লি', 'স্ট']"
৩২টির,"['৩', '২', 'টি', 'র']"
ডিত্রসইতে,"['ডি', 'ত্র', 'স', 'ই', 'তে']"
মূল্যসূচকে,"['মূ', 'ল্য', 'সূ', 'চ', 'কে']"
অপরিবর্তিত,"['অ', 'প', 'রি', 'ব', 'র্তি', 'ত']"
ডিত্রস,"['ডি', 'ত্র', 'স']"
শেয়ারের,"['শে', 'য়া', 'রে', 'র']"
ডিত্রসই,"['ডি', 'ত্র', 'স', 'ই']"
বিনিয়োগকারীর,"['বি', 'নি', 'য়ো', 'গ', 'কা', 'রী', 'র']"
গ্রামীণফোন,"['গ্রা', 'মী', 'ণ', 'ফো', 'ন']"
লেনদেনও,"['লে', 'ন', 'দে', 'ন', 'ও']"
